I3M Balears📚|📚https://anchor.fm/s/dfe3488/podcast/rss
iCatfolk📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/7/4/podprograma1447.xml
iCatMans📚|📚http://dinamics.ccma.cat/public/podcast/catradio/xml/8/1/podprograma1818.xml
iCatTapes📚|📚http://dinamics.ccma.cat/public/podcast/catradio/xml/6/2/podprograma1526.xml
Ignasi📚|📚https://www.ivoox.com/feed_fg_f1504815_filtro_1.xml
ijazz Club📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/7/6/podprograma867.xml
Impressions📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/3/3/podprograma1033.xml
In Session 2.0📚|📚https://www.ivoox.com/feed_fg_f1207841_filtro_1.xml
In-Diferent📚|📚https://www.ivoox.com/podcast-podcast-in-diferent_fg_f169419_filtro_1.xml
Inconnection📚|📚https://www.ivoox.com/feed_fg_f1767568_filtro_1.xml
Indirecte Radio Podcast📚|📚http://feeds.feedburner.com/indirecte/ePbs
Infantil Musicamontgo📚|📚https://www.ivoox.com/_fg_f1011497_filtro_1.xml
Infòrmula📚|📚https://www.ivoox.com/feed_fg_f1314524_filtro_1.xml
InsanityGvng📚|📚https://www.ivoox.com/feed_fg_f1474612_filtro_1.xml
Instinct by Juan Lagisquet📚|📚https://www.ivoox.com/feed_fg_f1865564_filtro_1.xml
Intermezzo📚|📚https://www.ivoox.com/intermezzo_fg_f121735.591388_filtro_1.xml
InThePlaceToBe podcast📚|📚https://fantastico.podomatic.com/rss2.xml
InThePlaceToBe Podcast📚|📚https://www.ivoox.com/_fg_f1852054_filtro_1.xml
Iron Fridays📚|📚https://www.ivoox.com/feed_fg_f1256364_filtro_1.xml
