Radio Kalos📚|📚https://feeds.acast.com/public/shows/6363833de71f4a0011888ae5
Radio Rôliste📚|📚https://radioroliste.lepodcast.fr/rss
RadioRobot📚|📚https://radiorobot.lepodcast.fr/rss
Red Alert - Actu jeu vidéo📚|📚https://anchor.fm/s/6649904c/podcast/rss
Répétitions📚|📚https://www.pleiade.asso.fr/component/podcastmanager/?format=raw&feedname=1
Respawn📚|📚https://feeds.radiokawa.com/podcast_respawn.xml
Rétro Nouveau (Vidéo)📚|📚http://feeds.feedburner.com/RetroNouveauVideo
Rétro Nouveau📚|📚http://www.yoink.ca/podcasts/podcast.xml
RETROGAMING NEWS📚|📚http://rss.castbox.fm/everest/c4e75e8aa8684721978214639a6b49a7.xml
Revue📚|📚https://anchor.fm/s/172dbde4/podcast/rss
Rhythm Fighter📚|📚https://tmdjc.com/fluxRss/rhythmfighter.xml
Roblox Gaming (team proder)📚|📚https://www.spreaker.com/show/4768328/episodes/feed
RôleCast📚|📚https://rolecast.lepodcast.fr/rss
Rôliste TV Podcast📚|📚https://feed.ausha.co/yJRYqcaPGvNg
