Peas in a Pod(cast)📚|📚https://peasinapod.podspot.de/rss
Pflanzenphysiologisches Praktikum Uni Landau📚|📚https://anchor.fm/s/26d64fa4/podcast/rss
pflegecoachy-podcast📚|📚https://feed.pod.co/pflegecoachy-podcast
Physik-Geplänkel📚|📚https://physik-geplaenkel.podigee.io/feed/mp3
Physio📚|📚https://anchor.fm/s/26871600/podcast/rss
Plapperfly📚|📚https://anchor.fm/s/10c4bdcc/podcast/rss
Plauderstündchen mit Frau F.📚|📚https://anchor.fm/s/184a681c/podcast/rss
Plautdietsch lieren.📚|📚https://anchor.fm/s/118bf824/podcast/rss
Podcaffè📚|📚http://www.kiza.de/Web-Site/Podcast/rss.xml
PODCAST – Grüße aus Deutschland📚|📚https://media.goethe.de/podcast/gad/rss_de.xml
PODCAST – Radio D📚|📚https://www2.goethe.de/lrn/pro/rad/rss2_de.xml
Podcast Wissen📚|📚https://anchor.fm/s/32306aec/podcast/rss
Podcasts – Creative Language Learning Blog📚|📚http://feeds.feedburner.com/creativelanguagelearningblog
podCHast📚|📚https://podchast.podspot.de/rss
Polnisch lernen mit LinguaBoost📚|📚https://www.spreaker.com/show/4334844/episodes/feed
Portugiesisch lernen mit LinguaBoost📚|📚https://www.spreaker.com/show/4373141/episodes/feed
Proteine📚|📚https://anchor.fm/s/37043ff8/podcast/rss
Prozessorientierte Informationssysteme (WS 2015/16) - tele-TASK📚|📚https://www.tele-task.de/feed/series/1097/
Prozessorientierte Informationssysteme I (WS 2014/15) - tele-TASK📚|📚https://www.tele-task.de/feed/series/1034/
Prozessorientierte Informationssysteme II (SS 2015) - tele-TASK📚|📚https://www.tele-task.de/feed/series/1062/
Psychobauer📚|📚https://anchor.fm/s/119a2250/podcast/rss
Psychologie verstehen📚|📚https://anchor.fm/s/1dd7f808/podcast/rss
