AVHØRT📚|📚https://feeds.acast.com/public/shows/685bb5014a2d8b8b51e33360
Barnebruden📚|📚https://feed.pod.space/barnebruden
Capital Punishment / Death penalty📚|📚https://anchor.fm/s/1b34fcb8/podcast/rss
En liten pause📚|📚https://admin.podkast.no/api/rss/enlitenpause
En Mørk Historie📚|📚https://feeds.acast.com/public/shows/0b5be705-118a-59f0-8ef0-93c3251e527c
føreren📚|📚https://anchor.fm/s/108456b0/podcast/rss
Gåten i Isdalen📚|📚https://podkast.nrk.no/program/gaaten_i_isdalen.rss
Jakten på Julius📚|📚https://feeds.soundcloud.com/users/soundcloud:users:4272909/sounds.rss
Jørn, pappaen som forsvant📚|📚https://podcast.stream.schibsted.media/vgtv/100402?podcast
Kriminalkrøniken📚|📚https://feeds.acast.com/public/shows/6388a1b19a505d00119d2c80
Krimkastingen📚|📚https://podkast.radiorevolt.no/krimkastingen
Krimpodden📚|📚https://podcast.stream.schibsted.media/vgtv/100417?podcast
Krimprat med Lise og Fiona📚|📚https://www.omnycontent.com/d/playlist/d79bdbb3-8eae-4ad2-b1f6-b0bc00cd1540/53a2c1f3-45c9-42b6-9427-b15500cb371f/0c96da82-5bb3-4943-81f0-b15500cb372d/podcast.rss
Lille Helvete📚|📚https://feeds.buzzsprout.com/766535.rss
Mariannesaken📚|📚https://feed.pod.space/mariannesaken
Mysteriekammeret📚|📚https://feeds.soundcloud.com/users/soundcloud:users:772469392/sounds.rss
psst.📚|📚https://feeds.acast.com/public/shows/psst
Purk eller skurk?📚|📚https://podkast.nrk.no/program/purk_eller_skurk.rss
Sektpodden📚|📚https://rss.podplaystudio.com/637.xml
SJOKK KULTUR📚|📚https://feed.pod.space/sjokkkultur
Skrekkpodden📚|📚https://www.omnycontent.com/d/playlist/d79bdbb3-8eae-4ad2-b1f6-b0bc00cd1540/fad00372-5ef9-47f8-a6d7-b15300b7481c/8a64e4f4-249b-4445-8ddb-b15300b7482a/podcast.rss
Svartelista📚|📚https://rss.podplaystudio.com/733.xml
Synderne📚|📚https://www.omnycontent.com/d/playlist/d79bdbb3-8eae-4ad2-b1f6-b0bc00cd1540/303b7330-b26d-46fe-a7f8-b15300b74871/0c394060-74f1-482a-86d2-b15300b7487f/podcast.rss
Taakeprat📚|📚https://feeds.acast.com/public/shows/6593a63440e8850017d5429f
To hvite menn📚|📚https://podkast.nrk.no/program/to_hvite_menn.rss
Truecrimepodden📚|📚https://www.omnycontent.com/d/playlist/d79bdbb3-8eae-4ad2-b1f6-b0bc00cd1540/2168f633-d788-4ba5-9c61-b15300b7489b/5103331a-b3c4-4841-8a66-b15300b748a4/podcast.rss
Ubåtsaken📚|📚https://podkast.nrk.no/program/ubaatsaken.rss
Uløst - VG📚|📚https://podcast.stream.schibsted.media/vgtv/100403?podcast
Under Etterforskning📚|📚https://rss.acast.com/baneheia
Virkelig Grusomt📚|📚https://admin.podkast.no/api/rss/virkeliggrusomt
