Palomazo📚|📚https://anchor.fm/s/2a2184f8/podcast/rss
Pals i botes📚|📚https://www.ivoox.com/feed_fg_f1133527_filtro_1.xml
parica📚|📚https://www.ivoox.com/feed_fg_f1293315_filtro_1.xml
Parlem amb...📚|📚https://gb.ivoox.com/pt/parlem-amb_fg_f1167625_filtro_1.xml
Parlem de literatura?📚|📚https://www.ivoox.com/feed_fg_f1896469_filtro_1.xml
Passa pàgina - comentaris sobre llibres📚|📚https://anchor.fm/s/d3cf5d4/podcast/rss
Patricia Damiano📚|📚https://www.ivoox.com/feed_fg_f1100262_filtro_1.xml
Patrimoni dels déus, de Victor Marti📚|📚https://www.ivoox.com/_fg_f1573157_filtro_1.xml
pedagogia radical📚|📚https://rwm.macba.cat/ca/podcast/channel/10350
pedagogia📚|📚https://rwm.macba.cat/ca/podcast/channel/10300
pepzapata📚|📚https://us.ivoox.com/en/enpodcast-pepzapata_fg_f1280095_filtro_1.xml
Peripècies d'un pofessor sommiador📚|📚https://www.ivoox.com/feed_fg_f1917912_filtro_1.xml
Perspectiva📚|📚http://dinamics.ccma.cat/public/podcast/catradio/xml/1/4/podprograma1841.xml
Pessics de literatura📚|📚https://anchor.fm/s/219c2cc0/podcast/rss
Peter Downsbrough📚|📚https://rwm.macba.cat/ca/podcast/channel/10336
Pilar Rovira📚|📚https://www.ivoox.com/feed_fg_f1645111_filtro_1.xml
Planeta biblio📚|📚https://www.ivoox.com/feed_fg_f1144229_filtro_1.xml
Planeta Lletra als medis📚|📚https://www.ivoox.com/feed_fg_f1279071_filtro_1.xml
Planeta Lletra📚|📚https://www.ivoox.com/feed_fg_f1312623_filtro_1.xml
Podcast Bar-Bar-Oh!📚|📚https://www.ivoox.com/feed_fg_f1922371_filtro_1.xml
Podcast Contes de La Muntala📚|📚https://www.ivoox.com/feed_fg_f128814_filtro_1.xml
Podcast Daniel Ruiz-Trillo📚|📚https://www.ivoox.com/feed_fg_f1036390_filtro_1.xml
Podcast de Amàlia Garrigós Hernández📚|📚https://www.ivoox.com/podcast-amalia-garrigos-hernandez_fg_f1150416_filtro_1.xml
Podcast de Anna R.📚|📚https://www.ivoox.com/feed_fg_f1100762_filtro_1.xml
Podcast de Biblioteca la Bòbila📚|📚https://www.ivoox.com/feed_fg_f1168585_filtro_1.xml
Podcast de Carles📚|📚https://www.ivoox.com/feed_fg_f1096041_filtro_1.xml
Podcast de deliabravo📚|📚https://www.ivoox.com/feed_fg_f1086696_filtro_1.xml
Podcast de El Prat a Taula📚|📚https://www.ivoox.com/feed_fg_f1107461_filtro_1.xml
Podcast de Escola Matagalls📚|📚https://www.ivoox.com/feed_fg_f1110274_filtro_1.xml
Podcast de Ezequiel Teodoro📚|📚https://www.ivoox.com/feed_fg_f1085263_filtro_1.xml
Podcast de ferrana3📚|📚https://www.ivoox.com/feed_fg_f1089023_filtro_1.xml
Podcast de fisiogossos📚|📚https://www.ivoox.com/feed_fg_f1147208_filtro_1.xml
Podcast de Georgina Caimel Valls📚|📚https://www.ivoox.com/feed_fg_f1090765_filtro_1.xml
Podcast de Javier Coria📚|📚https://www.ivoox.com/feed_fg_f1134167_filtro_1.xml
Podcast de L'illa dels llibres📚|📚https://www.ivoox.com/feed_fg_f1139783_filtro_1.xml
Podcast de Lluis Ricart📚|📚https://www.ivoox.com/feed_fg_f1104783_filtro_1.xml
Podcast de marc.brusosa📚|📚https://www.ivoox.com/_fg_f1149196_filtro_1.xml
Podcast de mipaed📚|📚https://www.ivoox.com/feed_fg_f1116722_filtro_1.xml
Podcast de Miquel Cazaña📚|📚https://www.ivoox.com/feed_fg_f1127991_filtro_1.xml
Podcast de montse📚|📚https://www.ivoox.com/feed_fg_f1156349_filtro_1.xml
Podcast de nonaaranda📚|📚https://www.ivoox.com/feed_fg_f1116441_filtro_1.xml
Podcast de núria📚|📚https://www.ivoox.com/feed_fg_f1089950_filtro_1.xml
Podcast de Teresa Arrufat📚|📚https://us.ivoox.com/fr/frpodcast-podcast-teresa-arrufat_fg_f1145339_filtro_1.xml
Podcast de Vila Viniteca📚|📚https://www.ivoox.com/_fg_f1096319_filtro_1.xml
Podcast del Concurs ARC Microrelats 2015-2017📚|📚https://www.ivoox.com/feed_fg_f1158769_filtro_1.xml
Podcast El guardià del far.📚|📚https://www.ivoox.com/feed_fg_f1156878_filtro_1.xml
podcast Entrevistes - a man in the moon📚|📚https://www.ivoox.com/feed_fg_f15175_filtro_1.xml
Podcast Entrevistes d'Oriol Capdevila📚|📚https://www.ivoox.com/podcast-podcast-entrevistes-d-oriol-capdevila_fg_f1157130_filtro_1.xml
Podcast Ernest📚|📚https://www.ivoox.com/feed_fg_f1143778_filtro_1.xml
Podcast Escola Tiana📚|📚https://www.ivoox.com/_fg_f167468_filtro_1.xml
Podcast ESPAIS de Ràdio Nova📚|📚https://www.ivoox.com/feed_fg_f1072547_filtro_1.xml
Podcast Ex Libris📚|📚https://www.ivoox.com/feed_fg_f123003_filtro_1.xml
Podcast Històries📚|📚https://www.ivoox.com/podcast-podcast-histories_fg_f155617_filtro_1.xml
Podcast http:catombella.ivoox.com📚|📚https://www.ivoox.com/feed_fg_f116726_filtro_1.xml
Podcast LLETRES AL VENT📚|📚https://www.ivoox.com/_fg_f1380558_filtro_1.xml
Podcast Maximum Clatellot📚|📚https://www.ivoox.com/_fg_f1032481_filtro_1.xml
Podcast MORIR DE FRIO - RÀDIO CONGELADOR📚|📚https://www.ivoox.com/feed_fg_f1068367_filtro_1.xml
Podcast Onada Edicions Ràdio📚|📚https://www.ivoox.com/feed_fg_f1054443_filtro_1.xml
Podcast ONES DE LECTURA📚|📚https://www.ivoox.com/feed_fg_f164175_filtro_1.xml
Podcast Poesia i llengua📚|📚https://www.ivoox.com/feed_fg_f117683_filtro_1.xml
Podcast Poesies📚|📚https://www.ivoox.com/feed_fg_f1058966_filtro_1.xml
Podcast Publicacions URV📚|📚https://www.ivoox.com/_fg_f1057588_filtro_1.xml
Podcast Punt i Coma📚|📚https://www.ivoox.com/feed_fg_f1103547_filtro_1.xml
Podcast QÜESTIÓ D'IMAGINACIÓ CASTELLDEFELS📚|📚https://www.ivoox.com/feed_fg_f147360_filtro_1.xml
Podcast Radio Prado G. Velázquez📚|📚https://www.ivoox.com/feed_fg_f1272934_filtro_1.xml
PODCAST Recomanació de llibres📚|📚https://www.ivoox.com/feed_fg_f1363212_filtro_1.xml
Podcast RELATOS DE LITERATURA📚|📚https://www.ivoox.com/feed_fg_f1044542_filtro_1.xml
Podcast's Monrelat Santornem'hi📚|📚https://www.ivoox.com/_fg_f1143090_filtro_1.xml
podcasts duracionals📚|📚https://rwm.macba.cat/ca/podcast/channel/10436
Podcasts literaris: el s. XIX explicat per 4t ESO📚|📚https://www.ivoox.com/_fg_f1843175_filtro_1.xml
Podcasts literaris: el segle XIX explicat per 4t d📚|📚https://www.ivoox.com/_fg_f1850948_filtro_1.xml
Poemari📚|📚https://anchor.fm/s/1e7781d4/podcast/rss
Poemes de 2n ESO-2014📚|📚https://www.ivoox.com/feed_fg_f1118515_filtro_1.xml
Poemes de Sant Jordi 2020📚|📚https://www.ivoox.com/feed_fg_f1901118_filtro_1.xml
Poesia en viu📚|📚https://www.ivoox.com/feed_fg_f1048114_filtro_1.xml
Poesia?, si gràcies, sense sucre📚|📚https://www.ivoox.com/feed_fg_f1872843_filtro_1.xml
Poesies 2n ESO📚|📚https://www.ivoox.com/feed_fg_f1380549_filtro_1.xml
Poetes i Rapsodes📚|📚https://www.ivoox.com/feed_fg_f1467213_filtro_1.xml
Poetes📚|📚https://www.ivoox.com/feed_fg_f1275029_filtro_1.xml
Prácticas TDM📚|📚https://www.ivoox.com/feed_fg_f1800286_filtro_1.xml
Premis El Temps de les Arts📚|📚https://tempsarts.cat/seccio/el-zoo-de-vidre/feed/
Programa de test de Pedro📚|📚https://www.ivoox.com/_fg_f1882989_filtro_1.xml
