AxR📚|📚http://kulbud.nazwa.pl/data/AxR/AxR.xml
Codziennik Rozgrywki📚|📚http://kulbud.nazwa.pl/data/Codziennik/codziennikrozgrywki.xml
Discogadka📚|📚https://anchor.fm/s/325c538c/podcast/rss
DropIN Podcast Live📚|📚http://rss.castbox.fm/everest/92ec39b4f409409d835679b3f87a8abd.xml
Dwóch po dwóch📚|📚https://anchor.fm/s/7b1a740/podcast/rss
ESPORTIVO.net📚|📚https://anchor.fm/s/68e2ce4/podcast/rss
Fantasmagieria - podcast o grach wideo.📚|📚http://www.fantasmagieria.net/?feed=podcast
Faux Paux📚|📚https://anchor.fm/s/c28ed60/podcast/rss
Forumogadka📚|📚https://forumogadka.pl/rss
Gadamy o grach📚|📚https://anchor.fm/s/37d64e30/podcast/rss
GeForce Podcast📚|📚http://51.15.80.74/itunes.xml
GnM Plus - podcast o grach📚|📚https://anchor.fm/s/8e4a004/podcast/rss
Gra słów📚|📚https://graslow.libsyn.com/rss
Gramy na Maxa - audycja radiowa o grach📚|📚https://anchor.fm/s/8e292a0/podcast/rss
Growy Podcast📚|📚https://anchor.fm/s/2371e788/podcast/rss
Grysław📚|📚http://ryslaw.pl/Gryslaw/itunes.xml
Hackroom122📚|📚https://hackroom.pl/feed/podcast/
Innovation Esport Group📚|📚https://anchor.fm/s/10443134/podcast/rss
InputLag📚|📚https://feeds.feedburner.com/InputLag
Jęki Walenia📚|📚https://www.podsluchane.pl/jekiwalenia/feed/podcast
Kącik nerda📚|📚https://www.spreaker.com/show/3305083/episodes/feed
Kolejny Growy Podcast📚|📚https://anchor.fm/s/27fed310/podcast/rss
Kolejny Podcast o Grach Wideo📚|📚https://anchor.fm/s/8939010/podcast/rss
Kondensator Podcast📚|📚https://media.rss.com/kondensator/feed.xml
Kulturalnie o grach📚|📚https://kulturalnieograch.podigee.io/feed/mp3
LoLek i Kawunia📚|📚https://anchor.fm/s/c03c350/podcast/rss
Masz 3 Życia - audycja o grach wideo📚|📚https://anchor.fm/s/7cb08e8/podcast/rss
meteor.exe📚|📚https://anchor.fm/s/76b7428/podcast/rss
Misja Esport📚|📚https://misjaesport.libsyn.com/rss
MKwadrat Podcast - gry wideo, VR, popkultura📚|📚https://mkwadratpodcast.pl/feed/podcast/
Na luźno📚|📚https://anchor.fm/s/282ae70c/podcast/rss
Nagrany Podcast📚|📚https://anchor.fm/s/2fdd7dc0/podcast/rss
Niezatapialni📚|📚https://niezatapialni.com/?feed=rss2
Notatki Projektanta📚|📚https://www.spreaker.com/show/2599694/episodes/feed
NTC Podcast📚|📚http://ntc.arhn.eu/itunes/ntc.xml
Ostatni Bastion📚|📚https://anchor.fm/s/d5ac5cf8/podcast/rss
padlog podcast📚|📚http://rss.castbox.fm/everest/ff2f13bc430148d9a523b4030aac1b7e.xml
PaDtv - PADcast📚|📚https://retrorocketnetwork.pl/category/padcast-rss/feed/
Pełną parą📚|📚https://pelnapara.znadplanszy.pl/feed/podcast
Podcast 2pady.pl📚|📚https://2pady.pl/feed/podcast/
Podcast Giereczkowy📚|📚https://anchor.fm/s/dbf602e4/podcast/rss
Podcast GRYOnline.pl📚|📚https://anchor.fm/s/12894510/podcast/rss
PoGRAduszki - Wciśnij Start📚|📚https://anchor.fm/s/1ba0d744/podcast/rss
Polska Grupa Fighterowa Nadaje!📚|📚https://anchor.fm/s/f844914/podcast/rss
POMAGRAJMY📚|📚https://anchor.fm/s/2262641c/podcast/rss
pr0gram - podcast serwisu gram.pl📚|📚https://anchor.fm/s/ce5ff2e8/podcast/rss
Progress Bar📚|📚https://anchor.fm/s/157bda80/podcast/rss
RaczejKonsolowo GAMECAST📚|📚https://anchor.fm/s/51f836fc/podcast/rss
Raport z E-BOISKA📚|📚https://anchor.fm/s/f7242a0/podcast/rss
Raport z Gniazda📚|📚https://anchor.fm/s/15e6df60/podcast/rss
Retro Stories📚|📚http://retrostories.pl/feed/podcast
Rock i Borys📚|📚https://anchor.fm/s/d2713e0/podcast/rss
Rozgrywka📚|📚http://kulbud.nazwa.pl/data/Rozgrywka/rozgrywka.xml
Rozmowy Pokojowe📚|📚https://feeds.buzzsprout.com/1753268.rss
Sztuka_01📚|📚https://anchor.fm/s/26292c34/podcast/rss
Tomograf - Podcast bro-talu Grastroskopia.pl📚|📚https://www.spreaker.com/show/4267661/episodes/feed
TRIGGER Podcast📚|📚https://www.spreaker.com/show/2904682/episodes/feed
Zacznijmy z początku📚|📚https://marcinkrupinski.znadplanszy.pl/feed/podcast
zBiurKa! Podcast📚|📚https://anchor.fm/s/1bf1a1b0/podcast/rss
Zgliczowani Podcast📚|📚http://feeds.feedburner.com/podcastzgliczowani
