1-Up Games📚|📚https://anchor.fm/s/a79f2e8/podcast/rss
1-Up Gaming Reviews📚|📚https://anchor.fm/s/e5dbdf4/podcast/rss
3-Bit Gamer Show📚|📚https://www.spreaker.com/show/2255796/episodes/feed
3-Bit Podcast📚|📚http://feeds.feedburner.com/3-bitpodcast
3-Up Moon Podcast📚|📚https://anchor.fm/s/47f03ab0/podcast/rss
64-Bits of Rage📚|📚http://rss.castbox.fm/everest/4d299133ad7e4cbc9808aa64acd371ce.xml
8-4 Play📚|📚https://anchor.fm/s/1dd1dcc0/podcast/rss
8-4 Play📚|📚https://eightfour.libsyn.com/rss
8-Bit Archaeology📚|📚https://anchor.fm/s/c386970/podcast/rss
8-Bit Bards📚|📚https://anchor.fm/s/68704dc/podcast/rss
8-Bit Canucks📚|📚https://feedpress.me/8BitCanucks
8-Bit Monster Radio📚|📚http://feeds.feedburner.com/tumblr/XKeo
8-Bit of My Life📚|📚https://anchor.fm/s/12f39bb8/podcast/rss
8-bit something📚|📚https://8bitsomething.podomatic.com/rss2.xml
80-Bit Podsmash📚|📚https://80bitpodsmash.com/rss
