7 Metrar📚|📚https://feeds.transistor.fm/7-metrar
Arnór & Andri Ræða Fantasy📚|📚https://media.rss.com/arnorogandriraedafantasy/feed.xml
Bláa tunglið📚|📚https://www.mancity.is/feed/podcast/
Blákastið Podcast📚|📚https://feed.podbean.com/blakastid/feed.xml
Boltabollunar📚|📚https://anchor.fm/s/e5b4010/podcast/rss
Boltaspjall📚|📚https://anchor.fm/s/d59fb20/podcast/rss
Bugie Wugie Bushme📚|📚https://anchor.fm/s/1b757f2c/podcast/rss
Búningsklefinn📚|📚https://feeds.soundcloud.com/users/soundcloud:users:445121406/sounds.rss
Djöflavarpið📚|📚http://feeds.feedburner.com/RDPodkast
Dr. Football Podcast📚|📚https://feeds.soundcloud.com/users/soundcloud:users:285535298/sounds.rss
Draumaliðið📚|📚https://feeds.soundcloud.com/users/soundcloud:users:141527207/sounds.rss
Durgarnir📚|📚https://feeds.soundcloud.com/users/soundcloud:users:162785986/sounds.rss
Endalínan📚|📚https://anchor.fm/s/eb3fe6c/podcast/rss
Fantasysjúklingarnir📚|📚https://www.spreaker.com/show/4065286/episodes/feed
Fimleikafélagið📚|📚https://feeds.soundcloud.com/users/soundcloud:users:584731401/sounds.rss
Fjallastelpur📚|📚https://anchor.fm/s/25ec640c/podcast/rss
Fjórðungur - Hlaðvarp📚|📚https://feeds.buzzsprout.com/226644.rss
Flugucastið📚|📚https://feeds.soundcloud.com/users/soundcloud:users:612336768/sounds.rss
Fotbolti.net📚|📚https://fotbolti.net/podcast_fn.php
Fríkastið📚|📚https://feeds.soundcloud.com/users/soundcloud:users:291881752/sounds.rss
Gerska ævintýrið - Rás 1 á HM í Rússlandi📚|📚https://feeds.feedburner.com/gerska-aevintyrid
Góðar sögur📚|📚https://feeds.buzzsprout.com/952090.rss
Gullkastið📚|📚https://kopis.libsyn.com/rss
Hærra, Lengra, Hraðar📚|📚https://anchor.fm/s/134cf398/podcast/rss
Handboltinn okkar📚|📚https://feed.podbean.com/handboltinnokkar/feed.xml
Handkastið📚|📚https://feeds.soundcloud.com/users/soundcloud:users:500982417/sounds.rss
Hlaðvarp Liverpool klúbbsins á Íslandi📚|📚https://feeds.buzzsprout.com/1721493.rss
Hlaupalíf Hlaðvarp📚|📚https://anchor.fm/s/b15a454/podcast/rss
HM hornið í Morgunverkunum📚|📚https://feeds.feedburner.com/hm-hornid-i-morgunverkunum
Inn Með Boltann📚|📚https://feeds.soundcloud.com/users/soundcloud:users:532475775/sounds.rss
ísak Trausti📚|📚https://anchor.fm/s/c289644/podcast/rss
KA Podcastið📚|📚https://feeds.soundcloud.com/users/soundcloud:users:432502665/sounds.rss
Karfan📚|📚https://feeds.buzzsprout.com/143488.rss
Keflavíkur Hlaðvarpið📚|📚https://feed.podbean.com/keflavik/feed.xml
Klárum Skotland📚|📚https://anchor.fm/s/ba69b44/podcast/rss
Kúlu-varpið📚|📚https://rss.castbox.fm/everest/cea1abd5bf724b47a0002d2494eda6ee.xml
Leiðin út📚|📚http://gylfikroyer.com/feed/podcast/
Leiknisljónavarpið: Leiknir Reykjavík📚|📚https://feeds.buzzsprout.com/262063.rss
Litlu Málin📚|📚https://feeds.soundcloud.com/users/soundcloud:users:592934220/sounds.rss
Markamínútan📚|📚https://anchor.fm/s/d76ba1c/podcast/rss
Mótorvarpið📚|📚https://anchor.fm/s/b7dca70/podcast/rss
Pílucastið📚|📚https://feeds.soundcloud.com/users/soundcloud:users:592717509/sounds.rss
Pistlarnir hans pabba - gleymdar hetjur íþróttasögunnar.📚|📚https://anchor.fm/s/1b447094/podcast/rss
Pitturinn📚|📚https://anchor.fm/s/159e0d30/podcast/rss
Podcast hub📚|📚https://anchor.fm/s/15dd58b4/podcast/rss
Pönghkastið📚|📚https://feeds.soundcloud.com/users/soundcloud:users:800420902/sounds.rss
Samfélagið Liverpool Podcast📚|📚https://www.spreaker.com/show/4533827/episodes/feed
Skagahraðlestin📚|📚https://skagahradlestin.com/feed/podcast/skagahradlestin/
Spursarar📚|📚https://anchor.fm/s/16dfbd88/podcast/rss
Spursarar📚|📚https://anchor.fm/s/201205a0/podcast/rss
Steve Dagskrá📚|📚https://feeds.soundcloud.com/users/soundcloud:users:473442966/sounds.rss
Stjörnuvarpið📚|📚https://anchor.fm/s/2b1bcd3c/podcast/rss
Taktíkin📚|📚https://anchor.fm/s/dc5b02c/podcast/rss
Taktíkin📚|📚https://www.spreaker.com/show/3683817/episodes/feed
Tappvarpið📚|📚https://feeds.soundcloud.com/users/soundcloud:users:157427081/sounds.rss
Tíu Jardarnir📚|📚https://anchor.fm/s/cfe8254/podcast/rss
Víkings hlaðvarpið📚|📚https://anchor.fm/s/da85fc70/podcast/rss
Þar Til Feita Konan Syngur📚|📚https://anchor.fm/s/12d5e5dc/podcast/rss
Þór Podcast📚|📚http://603.is/podcast/feed/podcast/
Þríhjólið📚|📚https://feeds.buzzsprout.com/667645.rss
Þvottakarfan📚|📚https://anchor.fm/s/15da8864/podcast/rss
