43 jours, se remettre d'une rupture📚|📚http://feeds.feedburner.com/43-jours
Alors C'est Pour Bientôt ?📚|📚https://feeds.acast.com/public/shows/c640e12a-189f-5832-ab24-777465eaf874
Alpha - Le livre audio📚|📚https://www.abs-multimedias.com/podcast-abs/feed/mag/
Aminata & Benoit📚|📚https://anchor.fm/s/13c2433c/podcast/rss
Amours Plurielles📚|📚https://feed.ausha.co/yvpElCWaKm3j
Anahata Podcast📚|📚https://feed.ausha.co/y0PG1IPdedvz
Au cœur du Planning📚|📚https://feed.pippa.io/public/shows/5e21f56f92ea561174b59492
Baisse ta culotte📚|📚https://anchor.fm/s/cc71350/podcast/rss
Bon baisé de personne trans📚|📚https://anchor.fm/s/15c81b34/podcast/rss
Boss_429📚|📚https://anchor.fm/s/2c33d96c/podcast/rss
Bout de cul📚|📚https://feeds.acast.com/public/shows/662fad6cf51ce100138617c4
Brigitte Lahaie Sud Radio📚|📚https://www.sudradio.fr/programme/brigitte-lahaie-sudradio/poditunes
C'est compliqué📚|📚https://feeds.360.audion.fm/1Upm91eadI2fd946XliaQ
Cafe Du Soir📚|📚https://anchor.fm/s/da05b88/podcast/rss
Causette de Boudoir📚|📚https://anchor.fm/s/d3bbee4/podcast/rss
Chansons De Bilitis by  Pierre Louÿs📚|📚http://www.loyalbooks.com/book/Les-Chansons-De-Bilitis-by-Pierre-Lou%C3%BFs/feed
CISM 89.3 : Salut, c'est moi📚|📚https://podcast.cism893.ca/radioshow/feed_itunes/1459.xml
CoachDrague Podcast📚|📚https://coachdraguepodcast.libsyn.com/rss3
Cocktails et Confidences📚|📚https://www.cotton-hairy-club.fr/feed/cocktails_et_confidences/
Cœur et Croupe📚|📚http://www.mysterieuxetonnants.com/category/podcasts/coeur-et-croupe/feed/
Confidences sur l'Oreiller📚|📚https://tmdjc.com/fluxRss/confidencessurloreiller.xml
Corps à corps📚|📚https://anchor.fm/s/1eb71600/podcast/rss
Couple heureux📚|📚https://couple-heureux.com/feed/podcast/
Courrier des lecteurs📚|📚https://anchor.fm/s/102f5750/podcast/rss
COXXX📚|📚https://feeds.audiomeans.fr/feed/7757d84b-d889-4794-8608-83c7b9098a75.xml
Crac Crac📚|📚https://feed.pippa.io/public/shows/5dc2f2ef5c36750d20b3764d
D'amour et de sexe📚|📚https://www.choq.ca/emissions/damour-et-de-sexe/rss
Déferlante - podcast provocateur de plaisir📚|📚https://feeds.fireside.fm/deferlante/rss
Dis-moi oui📚|📚https://feeds.audiomeans.fr/feed/bc9ac749-067c-44f4-995e-dd9365fe1d44.xml
Discultons-en📚|📚https://anchor.fm/s/15e941ec/podcast/rss
Earousal📚|📚https://anchor.fm/s/11630dec/podcast/rss
