ASIX📚|📚https://anchor.fm/s/a15732c/podcast/rss
Cargol Duran📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/0/3/podseccio3030.xml
CARNAVAL | Ràdio Ciutat de Tarragona |📚|📚https://rctgn.cat/category/podcast/programes/especials/carnaval/feed/
El ball del congre. Música📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/7/9/podseccio3097.xml
El concurs📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/3/1/podseccio3513.xml
El concurs📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/6/4/podseccio4846.xml
Els bons propòsits del cap de setmana📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/6/0/podseccio4306.xml
Els favorits de la Gina Tost📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/8/9/podseccio3598.xml
Els Maleïts Malparits📚|📚http://feeds.feedburner.com/ElsMaletsMalparits
Generació digital📚|📚https://feeds.feedburner.com/GD_jaume
La cuina d'en Nandu📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/4/0/podseccio4304.xml
La Universitat Invisible📚|📚http://feeds.feedburner.com/LaUniversitatInvisible
Pochlast📚|📚https://anchor.fm/s/e24030c/podcast/rss
POLIFRIKIS a Ràdio Sant Cugat📚|📚https://www.ivoox.com/polifrikis-radio-sant-cugat_fg_f1775756_filtro_1.xml
Sèries Killer📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/8/9/podseccio3098.xml
Sessió DJ📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/2/5/podseccio3152.xml
Tendenciosos📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/6/9/podseccio3096.xml
Teràpia de Balmes📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/5/9/podseccio3095.xml
Videojocs, amb Albert Murillo📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/5/6/podseccio665.xml
