オーディオドラマ「ゲラ」📚|📚http://www.gera-comic.net/podcast.xml
オーディオドラマ「ヒカリのない世界」📚|📚http://feeds.feedburner.com/audiodrama/hikari
オーディオドラマ「ふとんのせかい」📚|📚http://feeds.feedburner.com/futonsekai
オーディオドラマ「ブレイクザ・プリズン　ロリからの脱出」＠ねこ玉📚|📚http://color-taste.main.jp/neko5/break.xml
オーディオドラマ「ライトハンド」📚|📚http://www.lighthand.org/podcast.xml
オーディオドラマ「文学少年の孤独」📚|📚http://www.audiodrama.jp/bungakuboy/podcast.xml
オーディオ変ドリクス📚|📚http://audiohendrix.seesaa.net/index_custom.rdf
オーバータイムの咳払い📚|📚http://overtime-cough.seesaa.net/index20.rdf
オニ嫁＆ビビり夫のサラリーマンのための不動産投資～失敗しないためのノウハウ公開！📚|📚http://oniyome-bibiriotto.seesaa.net/index_custom.rdf
オレインラジオ📚|📚https://radio.olein.jp/feed/podcast
