ÄLYcast - älykästä lääkehoitoa yksilöllisesti📚|📚https://feeds.transistor.fm/alycast
burhan study pharmacy📚|📚https://www.spreaker.com/show/4713269/episodes/feed
Ennakointikupla📚|📚https://www.ennakointikupla.fi/home?format=rss
Geenihoito-podcast📚|📚https://feeds.acast.com/public/shows/60115931fb4f511f6d0a1fed
Kristallipallo📚|📚https://www.spreaker.com/show/4469396/episodes/feed
Lääkärin etiikkaa📚|📚https://anchor.fm/s/23af26d4/podcast/rss
Leikitäänkö lääkäriä?📚|📚https://feeds.acast.com/public/shows/5f534fd8c8419842db4cd505
Manuaalinen Terapia - Podcast📚|📚https://anchor.fm/s/1dd5de88/podcast/rss
Nollahypoteesi📚|📚http://www.radiohelsinki.fi/feed/?post_type=rh_podcast&rh_program_id=58586
Podiatri📚|📚https://www.spreaker.com/show/4253585/episodes/feed
RADplus📚|📚https://feeds.buzzsprout.com/719925.rss
SPESSU📚|📚https://feeds.buzzsprout.com/1604131.rss
Tähtitaivas nyt📚|📚https://www.ursa.fi/fileadmin/ursa2010/kuvat/palvelut/Podcastit/Tahtitaivas_nyt/Apple_rss.rss
The AMiCast📚|📚https://www.theamicast.com/jaksot?format=rss
Vinkistä vihiä📚|📚https://feeds.acast.com/public/shows/64da045e49c8ba0011706e28
