Radio MSR📚|📚https://anchor.fm/s/32949198/podcast/rss
Radio Orchid – der Fury in the Slaughterhouse Podcast bei RADIO BOB!📚|📚https://bob-radioorchid.podigee.io/feed/mp3?source=itunes
Radio Plapperpop📚|📚https://plapperpop.podigee.io/feed/mp3
radio SAW Star-Interviews📚|📚https://podcast.audiocon.de/rss/f19eab926abe785e55b246f6d3240e1c7b9118c4
RAKETEREI📚|📚https://podcastb6c302.podigee.io/feed/mp3
Rap mich am Arsch - Die Deutschrap Show by KISS FM📚|📚https://germanbeats.podigee.io/feed/mp3
Rasend Hertz: Der ROCK ANTENNE Podcast mit In Extremo📚|📚https://rasendhertzinextremo.podigee.io/feed/mp3
Real Talk Alpha Banger📚|📚https://anchor.fm/s/1efea718/podcast/rss
Regenbogen - Gespräche📚|📚https://letscast.fm/podcasts/regenbogen-gespraeche-ce01f465/feed
Reingeschaut📚|📚https://rss.castbox.fm/everest/76226a4bbb7c4a36bc62161a1fd4468d.xml
Repeat - Musiker und ihre Story📚|📚https://anchor.fm/s/14bfb0f8/podcast/rss
Rixdorf Royal📚|📚https://feeds.acast.com/public/shows/1a738aa5-8fa3-40e7-a9dc-185629522863
Road to Glory - Promi-Talk mit Alexander Nebe📚|📚https://cdn.julephosting.de/podcasts/1040-road-to-glory-der-weg-zum-erfolgpromi-talk-mit-alexander-nebe/feed.rss
ROCK ANTENNE Lokalhelden – der Interview Podcast!📚|📚https://rockantenneheimatklaenge.podigee.io/feed/mp3
Rodeo Radio – der BossHoss Podcast bei RADIO BOB!📚|📚https://bob-rodeoradio.podigee.io/feed/mp3
Rolling Stone Talk📚|📚https://rollingstone-talk.podigee.io/feed/mp3
ROTE BAR Einschlafen Podcast📚|📚https://podcast.rotebar.de/feed/mp3
Rückkopplung - der Musik-Marketing Podcast📚|📚https://musikmarketing.podigee.io/feed/mp3
Ruhestörung📚|📚https://ruhestoehrung-podcast.podigee.io/feed/mp3
