games Jaume📚|📚https://anchor.fm/s/ff5c378/podcast/rss
Gastronomia📚|📚http://dinamics.ccma.cat/public/podcast/catradio/xml/gastronomia.xml
George Orwell: un Quixot en bicicleta?📚|📚https://www.ivoox.com/_fg_f1738359_filtro_1.xml
Gianni Rodari📚|📚https://www.ivoox.com/_fg_f1874301_filtro_1.xml
gir educatiu📚|📚https://rwm.macba.cat/ca/podcast/channel/10349
GRUPOS DE ALIMENTOS.📚|📚https://anchor.fm/s/2c055790/podcast/rss
Guia d'orquestra (Temporada 2010-2011)📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/6/7/podprograma1376.xml
Guia d'orquestra (Temporada 2011-2012)📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/0/2/podprograma1120.xml
Guia d'orquestra📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/1/8/podprograma1481.xml
Guia de Britten📚|📚https://dinamics.ccma.cat/public/podcast/catradio/xml/3/0/podprograma1603.xml
