Kais Spielekiste - der Podcast📚|📚https://kaisspielekiste.de/feed/mp3/
Karnevalsrhetorik - Der Podcast rund um die 5. Jahreszeit📚|📚https://1k7e97r.podcaster.de/Karnevalsrhetorik.rss
Katjas Welt📚|📚https://katjaswelt.podspot.de/rss
Kein Blatt vorm Mund - Der Team Calyptus Podcast📚|📚https://anchor.fm/s/1d70a9f0/podcast/rss
Kendoraks und Knaarks‘ Geschwafel – Ein Star Citizen Podcast📚|📚https://1lr4sv3.podcaster.de/Knaarks.rss
Kerker & Drachen📚|📚http://feeds.feedburner.com/Kerker_und_Drachen
Kerkerkumpels (Pen&Paper)📚|📚https://rss.art19.com/kerkerkumpels
Kerkermeister📚|📚https://www.kerkermeister-podcast.de/?feed=mp3
Kernspieler📚|📚http://kernspieler.de/podcast/feed.xml
KeyPod📚|📚https://keypod.podspot.de/rss
Kinofilme.com Lichtspielcast📚|📚https://www.kinofilme.com/feed/podcast
Kladderadatsch📚|📚https://anchor.fm/s/215517e0/podcast/rss
KlatschMon📚|📚https://klatschmon.podigee.io/feed/mp3
Kleine Helden📚|📚https://kleine-helden.de/feed/podcast/
kleingedruckt* modem-version📚|📚https://kleingedruckt.podspot.de/rss
Klemmbausteinlyrik - Der Podcast rund um LEGO📚|📚http://feeds.feedburner.com/Videos-Klemmbausteinlyrik
Kobel Cast📚|📚https://anchor.fm/s/194d3474/podcast/rss
Koffer TALK📚|📚https://anchor.fm/s/23b3cdd8/podcast/rss
komplett irreführend📚|📚https://komplettirrefuehrend.home.blog/category/podcastfolgen/feed/
Konsolat Videospielpodcast📚|📚http://www.padkultur.de/podcast/konsolat/konsolat.xml
Konsolen & Konsorten📚|📚https://www.konsolentreff.de/media/podcast/kt_podcast.xml
Konsolenkino📚|📚https://konsolenkino.podcaster.de/konsolenkino.rss
KoopCast📚|📚https://www.koopcast.de/feed/mp3/
KRD - Konserven-Radio-Dosenhausen📚|📚https://feeds.feedburner.com/Konserven-Radio-Dosenhausen
Kreatiefwurzel📚|📚https://rohansde.podspot.de/rss
Krönle mit Kanönle📚|📚https://kroenle-mit-kanoenle.de/feed/mp3/
kulturellabbaubar📚|📚https://j2gwbr.podcaster.de/kulturellabbaubar.rss
Kurzschluss Junkies📚|📚https://37wdw4.podcaster.de/kurzschluss-blog.rss
