Chitrapati📚|📚https://anchor.fm/s/98a2a88/podcast/rss
Daily Marathi📚|📚https://feeds.hubhopper.com/768792a5ea5dcf6fdad17f07fb665836.rss
Deshdoot Podcast📚|📚https://anchor.fm/s/20ddf3e0/podcast/rss
Edu:Insight:📚|📚https://anchor.fm/s/2dea9f98/podcast/rss
Fuse of News📚|📚https://anchor.fm/s/86fd724/podcast/rss
gpnewspodcast📚|📚https://anchor.fm/s/2a0267bc/podcast/rss
Guide Marathi📚|📚https://anchor.fm/s/bae81ec/podcast/rss
INDIA that is BHARAT📚|📚https://anchor.fm/s/21f09878/podcast/rss
Journalist Sunil📚|📚https://anchor.fm/s/1eb45294/podcast/rss
Karkamb Darshan📚|📚https://anchor.fm/s/1a638868/podcast/rss
Khul Ke Gaa O.....Jindgi Pyar Ka Geet Hai📚|📚https://anchor.fm/s/1d1ef718/podcast/rss
Konkani Fundays📚|📚https://anchor.fm/s/13af2e78/podcast/rss
Korona Speech📚|📚https://anchor.fm/s/1e009934/podcast/rss
kridacast📚|📚https://anchor.fm/s/21cf9fd8/podcast/rss
Mahesh Raut📚|📚https://anchor.fm/s/379c4d5c/podcast/rss
Marathi News📚|📚https://anchor.fm/s/252a5844/podcast/rss
Max Maharashtra📚|📚https://anchor.fm/s/24266b40/podcast/rss
Morning News📚|📚https://anchor.fm/s/11bf4fe4/podcast/rss
Rakesh Kalal📚|📚https://anchor.fm/s/2888fc98/podcast/rss
Simple Current Affairs📚|📚https://anchor.fm/s/12ea6cf0/podcast/rss
The Leading Youth of Maharashtra Show📚|📚https://anchor.fm/s/20db4780/podcast/rss
The Natak Podcast by रंगभूमी.com📚|📚https://www.rangabhoomi.com/feed/podcast/
The Swapnil Show📚|📚https://anchor.fm/s/1f8c0234/podcast/rss
USK📚|📚https://anchor.fm/s/2558ac08/podcast/rss
Varta Vishleshan📚|📚https://www.spreaker.com/show/3640810/episodes/feed
Waditech Podcast📚|📚https://waditech.in/feed/podcast/
आपलं बातमीपत्र📚|📚https://anchor.fm/s/1a7cfba4/podcast/rss
जीवन मराठी न्यूज📚|📚https://anchor.fm/s/29f6182c/podcast/rss
ठळक घडामोडी📚|📚https://anchor.fm/s/183ae3d8/podcast/rss
मुंबई तरुण भारत गजाली📚|📚https://audioboom.com/channels/4851017.rss
मुंबई तरुण भारत बातमीपत्र📚|📚https://audioboom.com/channels/4851012.rss
