Bitó Sándor📚|📚https://anchor.fm/s/1c975470/podcast/rss
BpNT Podcast - A Budapest New Tech Meetup hanganyaga📚|📚http://feeds.feedburner.com/bpnt
Egy kávé a polgármesterrel📚|📚https://feeds.soundcloud.com/users/soundcloud:users:908322403/sounds.rss
Garázsmenet - Hegyi Zsolt📚|📚https://latszoter.hu/radio/feed/garazsmenet
Közösségi podcast📚|📚http://civilftp.civilradio.hu/kozosseg/podcast.xml
Látszótér Rádió Budapest📚|📚https://latszoter.hu/radio/feed/3
Sverige eSportspel📚|📚https://anchor.fm/s/2b1907dc/podcast/rss
Tükörcserepek📚|📚http://civilftp.civilradio.hu/tukorcserepek/podcast.xml
XXI. Század Intézet📚|📚https://feeds.buzzsprout.com/1704526.rss
