10:1 Ministries - The Real Life of an Everyday Christian - Truth in Action📚|📚https://anchor.fm/s/c9f9974/podcast/rss
10:25 Podcast with Isaac Harris📚|📚https://feeds.acast.com/public/shows/5ee45da19475e94a2bc7991f
132: Jonathan Martin, Author of “How to Survive a Shipwreck: Help Is on the Way and Love Is Already Here”📚|📚https://shaneblackshear.com/jonathanmartin2/feed/
136: Gerald McDermott, Author of “The Great Theologians, A Brief Guide”📚|📚https://shaneblackshear.com/geraldmcdermott/feed/
142: Brandon Hatmaker, Author of “A Mile Wide”📚|📚https://shaneblackshear.com/brandonhatmaker/feed/
143: Mike McHargue aka “Science Mike”, Author of “Finding God In The Waves”📚|📚https://shaneblackshear.com/mikemchargue/feed/
144: Ann Voskamp on her new book “The Broken Way: A Daring Path Into the Abundant Life”📚|📚https://shaneblackshear.com/annvoskamp/feed/
148: Shane Claiborne Talks “Executing Grace: How the Death Penalty Killed Jesus and Why it’s Killing Us”📚|📚https://shaneblackshear.com/shaneclaiborne2/feed/
15:14  - Biblical Counseling Coalition📚|📚https://biblicalcc.podbean.com/feed.xml
17:17 Podcast📚|📚https://feeds.buzzsprout.com/1447708.rss
195: Dominique Gilliard on How the Church Can Rethink Incarceration & Advocate for Justice That Restores📚|📚https://shaneblackshear.com/dominiquegilliard/feed/
2:2📚|📚https://anchor.fm/s/220fdb34/podcast/rss
2:20 Ministries📚|📚https://anchor.fm/s/2f53fe88/podcast/rss
2:52📚|📚https://anchor.fm/s/8a6a664/podcast/rss
2017: A Year for Economic Optimism📚|📚https://afr.net/api/v2/podcast/podcastsbyidrss/?id=6638
2018: Together in God's Word📚|📚http://lovelandheightschurchofchrist.cloversites.com/podcast/41c95cea-7daa-476f-814d-4aac8ae4902e.xml
21:31 Radio📚|📚https://feed.podbean.com/radio2131/feed.xml
28:19 - A Podcast of Saint Elizabeth Ann Seton in Keller, TX📚|📚https://anchor.fm/s/4e0db210/podcast/rss
31:17 Presents Audio Devotionals📚|📚https://anchor.fm/s/25cd4c48/podcast/rss
4:12 Student Ministries @ Harmonyofavon.com's Podcast📚|📚https://thelinkstudentministry.podomatic.com/rss2.xml
4:12MEN Podcast📚|📚https://anchor.fm/s/1e0316b4/podcast/rss
4:13 Podcast with Jennifer Rothschild📚|📚https://jennrothschild.libsyn.com/rss
4:14📚|📚https://anchor.fm/s/236c5818/podcast/rss
4:6 Conversations with Bammy and KyMichele📚|📚https://feeds.buzzsprout.com/1623196.rss
4:Twelve Student Ministries📚|📚https://4twelve.podomatic.com/rss2.xml
5:11 News📚|📚https://www.511news.org/feed.xml
6:33 Putting shoes on the Gospel📚|📚https://anchor.fm/s/1c407b3c/podcast/rss
6:8 Church📚|📚https://anchor.fm/s/3c712118/podcast/rss
78:4📚|📚https://legacy78-4.libsyn.com/rss
8:00 a.m. Sermons at Park Cities Presbyterian Church (PCA)📚|📚https://feeds.feedburner.com/PCPC8amSermons
8:32 Podcast📚|📚https://anchor.fm/s/1eb46040/podcast/rss
8:8 | Class Podcast📚|📚https://eighteight.podomatic.com/rss2.xml
9:30am – Brookside Baptist Church - 9:30am📚|📚https://brookside.org.au/service-type/930am/feed/
9:31 Growing the Church in Canada📚|📚https://feeds.simplecast.com/ccolPZzX
