2020 Leiðir📚|📚https://anchor.fm/s/8d86208/podcast/rss
Á tónsviðinu📚|📚https://feeds.feedburner.com/a-tonsvidinu
Árið er📚|📚http://feeds.feedburner.com/arid-er
Arnar Eggert📚|📚https://feeds.feedburner.com/arnar-eggert
Bærinn minn og þinn📚|📚https://www.ruv.is/rss/hladvarp/baerinn-minn-og-thinn
Ber er hver að baki📚|📚https://www.ruv.is/rss/hladvarp/ber-er-hver-ad-baki
Besta platan📚|📚https://feed.podbean.com/bestaplatan/feed.xml
Borgarleikhúsið - hlaðvarp📚|📚https://feeds.buzzsprout.com/947281.rss
Bransakjaftæði📚|📚https://anchor.fm/s/63ed9e24/podcast/rss
Chitchat podcast📚|📚https://feeds.buzzsprout.com/1549273.rss
Dagvaktin📚|📚https://feeds.feedburner.com/dagvaktin
Diskódruslan📚|📚https://www.ruv.is/rss/hladvarp/diskodruslan
Dordingull📚|📚https://www.ruv.is/rss/hladvarp/dordingull
Eitt lag enn📚|📚http://feeds.feedburner.com/eitt-lag-enn
Fílalag📚|📚https://filalag.is/feed/podcast/
Flugur📚|📚https://feeds.feedburner.com/flugur
Füzz📚|📚http://feeds.feedburner.com/fuzzzz
Geymt en ekki gleymt📚|📚https://www.ruv.is/rss/hladvarp/geymt-en-ekki-gleymt
Gítarspjallið📚|📚https://www.spreaker.com/show/4680577/episodes/feed
Gleymdar perlur áttunnar📚|📚https://www.ruv.is/rss/hladvarp/gleymdar-perlur-niunnar
Gleymdar perlur níunnar📚|📚http://feeds.feedburner.com/gleymdar-perlur-attunnar
Grínland📚|📚https://www.ruv.is/rss/hladvarp/grinland
Gulu Bogagöngin📚|📚https://feeds.soundcloud.com/users/soundcloud:users:462288675/sounds.rss
Heimshornaflakk📚|📚https://www.ruv.is/rss/hladvarp/heimshornaflakk
Hvað Klikkaði?📚|📚https://feeds.buzzsprout.com/158578.rss
Hvernig varð lagið til?📚|📚https://www.ruv.is/rss/hladvarp/hvernig-vard-lagid-til-
Innblástur📚|📚https://www.ruv.is/rss/hladvarp/innblastur
Konsert📚|📚https://feeds.feedburner.com/konsert
Kraftbirtingarhljómur guðdómsins📚|📚https://anchor.fm/s/13050330/podcast/rss
Langspil📚|📚http://feeds.feedburner.com/langspil
Leikfangavélin📚|📚https://feeds.acast.com/public/shows/5d937b0b8066a91521aff9eb
Lög gamla fólksins📚|📚https://anchor.fm/s/2afdab90/podcast/rss
Meistari Morricone📚|📚https://www.ruv.is/rss/hladvarp/meistari-morricone
Million Dollar Babies📚|📚https://feeds.buzzsprout.com/1072168.rss
Örbylgjuofninn📚|📚https://feeds.feedburner.com/orbylgjuofninn
Oskar Hz📚|📚https://feeds.soundcloud.com/users/soundcloud:users:123494/sounds.rss
PartyZone, Dansþáttur þjóðarinnar📚|📚https://podcast.pz.is
Poppland📚|📚https://feeds.feedburner.com/poppland
Popppressan📚|📚https://feeds.feedburner.com/popppressan
Rabbabari📚|📚https://www.ruv.is/rss/hladvarp/rabbabari
Ræflarokk📚|📚https://www.ruv.is/rss/hladvarp/raeflarokk
Rauður Faxe Kondi📚|📚https://anchor.fm/s/b7252e4/podcast/rss
Rokkland📚|📚http://feeds.feedburner.com/rokkland
Rokksaga hlaðvarp📚|📚https://anchor.fm/s/11191e30/podcast/rss
Skúrinn📚|📚https://www.ruv.is/rss/hladvarp/skurinn
Sögur af plötum📚|📚https://feeds.transistor.fm/sogur-af-plotum
Söngleikir samtímans📚|📚https://www.ruv.is/rss/hladvarp/songleikir-samtimans
Spilverk þjóðanna📚|📚https://www.ruv.is/rss/hladvarp/spilverk-thjodanna
Streymi📚|📚https://www.ruv.is/rss/hladvarp/streymi
Sunnudagsmorgunn með Jóni Ólafssyni📚|📚https://www.ruv.is/rss/hladvarp/sunnudagsmorgunn-med-joni-olafssyni
Sunnudagssögur📚|📚http://feeds.feedburner.com/sunnudagssogur
Sveitaballið📚|📚https://feeds.buzzsprout.com/1046518.rss
Teknófélagið📚|📚https://feeds.buzzsprout.com/1001560.rss
Tónlist frá a til ö📚|📚https://feeds.feedburner.com/tonlistin-fra-a-til-o
Tónlist frá a til ö📚|📚https://www.ruv.is/rss/hladvarp/tonlist-fra-a-til-o
Tvær á túr📚|📚https://feeds.buzzsprout.com/836611.rss
Unga Fólkið📚|📚https://feeds.transistor.fm/unga-folkid
Uppáhalds rokkplatan📚|📚https://www.ruv.is/rss/hladvarp/uppahalds-rokkplatan
Útvarp Unaðsdalur📚|📚https://www.spreaker.com/show/4489372/episodes/feed
Veislan📚|📚https://www.spreaker.com/show/3533976/episodes/feed
Velvet Underground📚|📚https://www.ruv.is/rss/hladvarp/velvet-underground
Vinsældalisti Rásar 2📚|📚http://feeds.feedburner.com/vinsaeldalisti-rasar-2
Yfir Strikið📚|📚https://audioboom.com/channels/4979763.rss
Ymur📚|📚http://feeds.feedburner.com/ymur_ruv
