5MinutenClimateChance📚|📚https://www.5mcc.at/feed/mp3/
Mobility X Performance📚|📚https://hc2yzg.podcaster.de/mobilityxperformance.rss
Modell des Lebens von RLT📚|📚https://anchor.fm/s/2150bb14/podcast/rss
Modellansatz📚|📚http://modellansatz.de/rss/
Moin, Moin Logistik📚|📚https://podcastabd9e0.podigee.io/feed/mp3
Mond-Talk📚|📚https://rss.art19.com/mond-talk
Monolog | NRWision📚|📚https://www.nrwision.de/mediathek/sendungen/monolog/rss/100/
Montan UKT Talk📚|📚https://2fzcfp.podcaster.de/MontanTalk.rss
Morphium & Ingwer – der Gesundheits-Podcast der AOK Rheinland/Hamburg📚|📚https://aok-morphium-und-ingwer.podigee.io/feed/mp3
Morselehrgang von DJ1KN📚|📚http://mycast.oe5tdo.at/morsen.xml
multiinteressiert📚|📚https://sxxrpm.podcaster.de/multiinteressiert.rss
Multimedia im Netz - WiSe 2006/2007 - Audio mit Folien📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaNetzWS0607/audiofolien/audiofolien.rss
Multimedia im Netz - WiSe 2006/2007📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaNetzWS0607/audio/audiorss.rss
Multimedia im Netz - WiSe 2009/2010 - Audio mit Folien📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaNetzWS0910/audiof.de/0910WS_MMimNetz_AF.rss
Multimedia im Netz - WiSe 2009/2010📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaNetzWS0910/audio.de/0910WS_MMimNetz_A.rss
Multimedia-Programmierung - SoSe 2007 - Audio mit Folien📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaProgrSS07/audiofolien/audiofolien.rss
Multimedia-Programmierung - SoSe 2007📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaProgrSS07/audio/audiorss.rss
Multimedia-Programmierung - SoSe 2009 - Audio mit Folien📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaProgrSS09/audiofolien/audiofolien.rss
Multimedia-Programmierung - SoSe 2009📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaProgrSS09/audio/audiorss.rss
Multimedia-Programmierung - SoSe 2010 - Audio mit Folien📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaProgrSS10/audiof.de/2010_SS_MultimediaProgrammierung_audiof.rss
Multimedia-Programmierung - SoSe 2010📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaProgrSS10/audio.de/2010_SS_MultimediaProgrammierung_audio.rss
Multimediale Lehr- und Lernumgebungen - WiSe 2008/2009 - Audio mit Folien📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaLernLehrWS0809/audiofolien/audiofolien.rss
Multimediale Lehr- und Lernumgebungen - WiSe 2008/2009📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MultiMediaLernLehrWS0809/audio/audiorss.rss
Munich Centre for Advanced Photonics📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Forschung/DFGExzellenz/MAP/hd.de/DFG_Exc_MAP_HD_de.rss
Munich Centre for Advanced Photonics📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Forschung/DFGExzellenz/MAP/video.de/DFG_Exc_MAP_V_de.rss
myfutureguide📚|📚https://myfutureguide.podigee.io/feed/mp3
Mysticle Adventure📚|📚https://anchor.fm/s/ed6424c/podcast/rss
