[PL]Let's Mate Movies - analizy i polecjaki filmowe📚|📚https://anchor.fm/s/e6c8553c/podcast/rss
100 vs 100📚|📚https://feeds.soundcloud.com/users/soundcloud:users:474713568/sounds.rss
75 lat Łódzkiej Fabryki Snów📚|📚https://feeds.soundcloud.com/users/soundcloud:users:844247257/sounds.rss
After the Credits📚|📚https://moviemag.podbean.com/feed.xml
Audio/Wizualny📚|📚https://audiowizualny.podigee.io/feed/mp3
Audycja Zkury📚|📚https://konglomeratpodcastowy.pl/category/audycja-zkury/feed/
AxR📚|📚http://kulbud.nazwa.pl/data/AxR/AxR.xml
Azja Kręci - podkast Pięciu Smaków📚|📚https://feed.podbean.com/azjakreci/feed.xml
Be My Hero Podcast📚|📚https://anchor.fm/s/7c106cc/podcast/rss
Bliskie Spotkania w RMF Classic📚|📚https://www.rmfclassic.pl/podcasty/grupa/55
BLISKO FILMU📚|📚https://anchor.fm/s/2399da18/podcast/rss
Bycze Pogaduchy!📚|📚https://anchor.fm/s/1f4a6360/podcast/rss
Celuloid i światło📚|📚https://anchor.fm/s/1eb7334c/podcast/rss
Codziennik Rozgrywki📚|📚http://kulbud.nazwa.pl/data/Codziennik/codziennikrozgrywki.xml
Coś Obejrzanego📚|📚https://anchor.fm/s/c8517e8/podcast/rss
Czerwone Fotele Podcast📚|📚https://anchor.fm/s/2e25adf4/podcast/rss
Człowiek-Man vs Multiwersum📚|📚https://anchor.fm/s/1e8bc2fc/podcast/rss
Czwarta Ściana📚|📚https://anchor.fm/s/15e57864/podcast/rss
Daniel Kondraciuk I Lektor I Dziennikarz I Trener wystąpień publicznych📚|📚https://www.kondraciuk.com/feed/
DEKOMPRESOR /KINO📚|📚http://dekompresor.pl/itunes/dekompresor-kino-feed.xml
DGPtalk: Po stronie kultury📚|📚https://feed.pippa.io/public/shows/5d68eba9008427e90f510c4a
DKF na LUZie📚|📚https://anchor.fm/s/e60b298/podcast/rss
Do zobaczenia. Magazyn filmowy📚|📚https://anchor.fm/s/f6909650/podcast/rss
Domowa Filmoteka📚|📚https://anchor.fm/s/1f5b5b84/podcast/rss
