[코리아포커스] 농성팟📚|📚http://feeds.feedburner.com/strikepod
[코리아포커스] 닥터스테판📚|📚http://feeds.feedburner.com/coreafocus
[코리아포커스] 메이데이📚|📚http://feeds.feedburner.com/21_mayday
[코리아포커스] 사람들📚|📚http://feeds.feedburner.com/saramdle
[코리아포커스] 오늘의대담📚|📚http://feeds.feedburner.com/todays_essay
[코리아포커스] 외국인들📚|📚http://feeds.feedburner.com/foreigners
[코리아포커스] 주간브리핑📚|📚http://feeds.feedburner.com/news_briefing
[코리아포커스] 촛불VJ📚|📚http://feeds.feedburner.com/candlelight-vj
[코리아포커스] 포럼📚|📚http://feeds.feedburner.com/coreafocus_forums
코테라의 정자쇼📚|📚http://pod.ssenhosting.com/rss/kotera/podcast.xml
