109.1 RueDawg📚|📚https://anchor.fm/s/d91311c/podcast/rss
3rd Line Grind📚|📚https://www.spreaker.com/show/4357453/episodes/feed
Radio PI📚|📚https://www.spreaker.com/show/4108162/episodes/feed
Rags To Riches Hockey📚|📚https://feeds.buzzsprout.com/1060945.rss
Raising Hell in Jersey📚|📚https://anchor.fm/s/25f461c0/podcast/rss
Raising Hell in Jersey📚|📚https://www.spreaker.com/show/4564696/episodes/feed
Rambling Brews Podcast📚|📚https://cast.rocks/hosting/29825/feeds/2CWZU.xml
Random Podcast📚|📚https://anchor.fm/s/34049f78/podcast/rss
Ranger Things Have Happened📚|📚https://media.rss.com/rthhpod/feed.xml
Rangers Ed.📚|📚https://feeds.buzzsprout.com/686147.rss
Reading Royals – What The Puck: A Washington Capitals Podcast📚|📚https://whatthepuckcaps.brandocash.com/category/reading-royals/feed/
Ready Aim Stop! Use the Goalie Stick!📚|📚https://www.spreaker.com/show/4257911/episodes/feed
Ready Set Sports📚|📚https://feeds.simplecast.com/NBllaneL
Real Gud Pros📚|📚https://realgudpros.libsyn.com/rss
Real Hockey Talk📚|📚https://anchor.fm/s/15a61124/podcast/rss
Real Hockey Talk📚|📚https://www.spreaker.com/show/1233532/episodes/feed
Real Kyper at Noon📚|📚https://anchor.fm/s/56c3a158/podcast/rss
Red Wings Rant Podcast📚|📚https://feeds.simplecast.com/8OOHvCYP
Redneck Hockey Podcast📚|📚https://feeds.buzzsprout.com/1763816.rss
Richard Bailey📚|📚https://anchor.fm/s/e0ca5cc/podcast/rss
Richmond Podcast📚|📚https://anchor.fm/s/229bd530/podcast/rss
Riding the Pine📚|📚https://anchor.fm/s/2fee0ec4/podcast/rss
Rink Moose Hockey Podcast📚|📚https://feed.podbean.com/rinkmoose/feed.xml
Rink Rat Report📚|📚https://feeds.simplecast.com/kjmCqfjQ
Rink Stories📚|📚https://feeds.buzzsprout.com/860308.rss
Rink Wide: Vancouver📚|📚https://feeds.acast.com/public/shows/65f77c528c14020018a8d4f7
Rinkside with Aarif Deen📚|📚https://feeds.simplecast.com/mg9SA7T9
RMS Colorado Avalanche Podcast📚|📚https://feeds.simplecast.com/ZKbBTNlL
Robby & Rexrode📚|📚https://audioboom.com/channels/5008647.rss
Rosey Fitzy Gally Show📚|📚https://anchor.fm/s/37866dc0/podcast/rss
Rule 1 Sports Talks📚|📚https://anchor.fm/s/1ab1b09c/podcast/rss
