Abstauber - Der Bundesliga Podcast📚|📚https://anchor.fm/s/1465f70c/podcast/rss
Abstiegscast📚|📚https://anchor.fm/s/38f12b14/podcast/rss
Adler Podcast - Der Eintracht Frankfurt Fan Stammtisch📚|📚https://anchor.fm/s/98e7f32c/podcast/rss
Adlerauge – der Eintracht-Podcast der VRM📚|📚https://adlerauge.podigee.io/feed/mp3
Alle gegen die Lehrer📚|📚https://anchor.fm/s/35c83acc/podcast/rss
Allianz Brisanz📚|📚https://allianzbrisanz.podigee.io/feed/mp3
Almuths Pausen-T📚|📚https://cdn.julephosting.de/podcasts/493-eine-halbzeit-mit-der-fussball-podcast/feed.rss
Alte Podcasterei📚|📚https://altepodcasterei.podigee.io/feed/mp3
Angetäuschte Körpertäuschung📚|📚https://anchor.fm/s/388cd010/podcast/rss
Anschlusstreffer📚|📚https://meinsportpodcast.de/fussball/anschlusstreffer/feed/
Anstoss - Der Fussball-Talk Podcast📚|📚https://feeds.buzzsprout.com/1237367.rss
Anstuss📚|📚https://anstuss-podcast.podigee.io/feed/mp3
Antenne Wolfsgeflüster - Der WAC in der Europa League📚|📚https://antennekaernten.podigee.io/feed/mp3
Arminia Bielefeld Supporters Club Livestream📚|📚https://anchor.fm/s/11e1d438/podcast/rss
AroundTheBall📚|📚https://anchor.fm/s/2763190c/podcast/rss
Audiobeweis - Der 3.Liga-Podcast📚|📚https://meinsportpodcast.de/fussball/audiobeweis-der-3-liga-podcast/feed/
Audiobeweis - Der Tagesspiegel-Podcast zur WM📚|📚https://audiobeweis.podigee.io/feed/mp3
Auepodcast📚|📚https://auepodcast.podigee.io/feed/mp3
Auf die Zirbelnuss📚|📚https://meinsportpodcast.de/fussball/auf-die-zirbelnuss/feed/
Auf ein Ahlenfelder📚|📚https://feeds.buzzsprout.com/1083107.rss
Auffe Ohren - Der BVB-Podcast von schwatzgelb.de📚|📚https://auffeohren.podigee.io/feed/mp3
Aus dem Exil - der Fortuna-Podcast📚|📚https://aus-dem-exil.podigee.io/feed/mp3
Ausgegraben📚|📚https://studentenfunk-regensburg.de/podcasts/ausgegraben/feed/
Auszeit - F95 Futsal📚|📚https://meinsportpodcast.de/fussball/auszeit-f95-futsal/feed/
